Date,Hour,Minute,Positive,Negative,Tweet,Translated_Tweet,Keyword(s),Tweet_link
2022.08.22,6,11, ,1,これからワクチン接種だけど既に体調が悪い（メンタル的なやつ）,"I'm going to get a vaccine now, but I'm already sick (mental one)",sick,https://twitter.com/twitter/status/1561596857339416576
2022.08.22,6,11, ,1,RT @partyhike: 重症化リスクが低い若者には新機序のmRNAワクチンを様子見するという選択肢があったのに、医クラが何のエビデンスも存在せず厚労省ですら否定している『ワクチンで集団免疫』というデマを流し、『社会のため老人ために若者もワクチンを打て』という圧力を創り出し…,"RT @partyhike: Young people with a low risk of severe disease had the option of waiting for a new mechanism of mRNA vaccine, but the medical club has no evidence and even the Ministry of Health, Labor and Welfare denies it. Spreading the hoax of ""herd immunity with vaccines"" and creating pressure to ""vaccine young people for the sake of society and the elderly""...",severe,https://twitter.com/twitter/status/1561596849387352065
2022.08.22,6,11, ,1,"RT @hontounokotoga1: ワクチン接種をすれば、おおかた感染もしなければ、発症することも無いと国民に宣伝していた、元ワクチン担当大臣に続いて首相まで感染した

　コロナワクチンに意味無し","RT @hontounokotoga1: The former minister in charge of vaccines, who advertised to the public that if he was vaccinated, he would not be infected or develop symptoms, and even the prime minister was infected

""Corona vaccine has no meaning""",no,https://twitter.com/twitter/status/1561596846820036608
2022.08.22,6,11,1, ,"ワクチン薬害に続くラゲブリオ薬害
安易に処方して患者を死なせたら訴えられる https://t.co/QoguqG6Rkk","Laghebrio drug hazard following vaccine phytotoxicity
If you easily prescribe and let the patient die, you can be sued https://t.co/QoguqG6Rkk",patient,https://twitter.com/twitter/status/1561596907021299713
2022.08.22,6,11, ,1,"RT @kirikabu11: @junmurot ワクチン3回目接種後に男女2人が死亡したと発表。
基礎疾患無し https://t.co/N1zRxYyWsZ","RT @kirikabu11: @junmurot Announced that two men and women died after the third vaccination.
No underlying disease https://t.co/N1zRxYyWsZ",disease,https://twitter.com/twitter/status/1561596901707100160
2022.08.22,6,11, ,1,"RT @MNHR_Labo: こういうあからさまな差別発言は病院内ではよく囁かれています。対象はワクチン未接種者だったり生活保護だったり肥満・生活習慣病患者だったり、その時時で形を変えて。
ただ、SNSで実名で言っちゃっても大丈夫なわけではありません。
医療者は困っている人全員…","RT @MNHR_Labo: Such outright discriminatory remarks are often whispered in the hospital. The target is non-vaccinated people, public assistance, obesity / lifestyle disease patients, change the shape at that time.
However, it is not okay to say your real name on SNS.
Medical workers are all those in need...",disease,https://twitter.com/twitter/status/1561596900012265473
2022.08.22,6,11,1, ,RT @unkotaberuno: コレが４発ワクチン打った岸田が年初に言ったこと。そして岸田がコロナ陽性者になった。あのな、「お前、嘘つきだろ」「お前が言っていたことを信じてたが騙されたこの野郎」とこの男に言いまくっていいぞ、みんな。どうせ「ワクチン4回打ったから軽症で済んだ…,"RT @unkotaberuno: What Kishida said at the beginning of the year when he got 4 vaccines. And Kishida became a corona positive person. Hey, you can keep telling this guy, ""You're a liar!"" Anyway, ""Since I got four vaccines, I got off with a mild injury...",positive,https://twitter.com/twitter/status/1561596893779570688
2022.08.22,6,11, ,1,RT @unkotaberuno: こびナビ事務局長の弁。ワクチンがとにかく効いていたことにしたい。当初の「ワクチンは感染を防ぐ」がぶっ壊れた後「症状が酷くなくなる」「重症化を防ぐ」の路線でヤツら押し通すらしい。ベッキーと川谷絵音のLINEのやり取りの「友達で押し通す予定笑」か…,"RT @unkotaberuno: Kobinavi Secretary General's valve. I wish the vaccine had worked anyway. After the initial ""vaccine prevents infection"" is broken, it seems that they will push through the route of ""preventing severe symptoms"" and ""preventing aggravation"". Becky and Enon Kawatani's LINE exchange ""I plan to push through with friends lol""...",severe,https://twitter.com/twitter/status/1561596892068577281
2022.08.22,6,11, ,1,RT @genki_sudo: ワクチン3回目接種から3か月以内 発症を防ぐ効果65%…ということですが、重症化リスクが低くなっている中でたった3ヶ月、65%の効果の為に接種する必要性がわかりません。副反応や後遺症のリスクの方が気になる人は多いはずです。 https://t.c…,RT @genki_sudo: 65% effective in preventing onset within 3 months from the 3rd vaccination... but the need to inoculate for 65% effect for only 3 months while the risk of severe disease is low I do not know. There should be a lot of people who are more concerned about the risk of side effects and sequelae. https://t.c…,severe,https://twitter.com/twitter/status/1561596890575421440
2022.08.22,6,11, ,1,たまに流れてくるコロナワクチン意味ない&amp;陰謀論のツイート、リプ欄含めてこわすぎw在日なのか洗脳されてんのか知らんけど、コロナが流行る前は普通の人だったとしたらコロナはやっぱり危険なのかもしれないなwちなみにワクチンは打ってないので反ワクはFF外からつっかかってこないでw,"The occasional coronavirus vaccine makes no sense & conspiracy theory tweets are too scary, including the reply column lol I don't know if I'm resident in Japan or brainwashed, but if I was a normal person before corona spread, corona might still be dangerous I don't know lol By the way, I haven't been vaccinated, so please don't get in the way of anti-waku from outside FF.",no,https://twitter.com/twitter/status/1561596888948043776
2022.08.22,6,11,1, ,"RT @honda_hiroshi: 残念無念、医師の絶対数不足放置も同じ構図‼️😢😭

ずっと感じてきたのは、この国の行政はデータを収集し、政策判断に生かすことが不得手だなということ。

14色のペン：ワクチン接種　米・英・韓にあって日本にないもの | 毎日新聞 https:…","RT @honda_hiroshi: Unfortunately, the same composition is left for the absolute shortage of doctors! ️😢😭

What I have always felt is that the administration of this country is not good at collecting data and making use of it in policy decisions.

14 Colored Pens: Vaccination What is in the US, UK, and South Korea but not in Japan | The Mainichi Shimbun https:…",good,https://twitter.com/twitter/status/1561596955612299265
2022.08.22,6,11,1, ,"@mph_for_doctors @MIKITO_777 これも確かに指摘の通りなんですね。先日 小児への努力義務が定められたワクチン分科会でも、厚労省の事前の根回しが強すぎて、理由の説明もないまま
ぬるっと 努力義務異議なしとなりました。","@mph_for_doctors @MIKITO_777 This is certainly as you pointed out. The other day, even in the Vaccine Subcommittee, which was stipulated to make efforts for children, the Ministry of Health, Labor and Welfare was too strong in advance, and without an explanation of the reason.
Nurutto Effort Obligation No Objection.",strong,https://twitter.com/twitter/status/1561596949580886017
2022.08.22,6,11, ,1,"RT @01822239: 母は透析患者です。
病院からワクチン強要をずっとされて脅されながら今まで耐え忍んできました。そんな母が、最近嘔吐とみぞおちの痛みで苦しんでいました。その症状を腎臓内科で診てもらいながら、特に何もしてもらえず、PCR検査だけは毎回されており、３回陰性で…","RT @01822239: My mother is a dialysis patient.
She has endured up until now while being threatened by the hospital to coerce her into getting the vaccine. Recently, my mother was suffering from vomiting and pain in the pit of the stomach. She had her symptoms examined at the nephrology department, but she didn't do anything in particular, and only the PCR test was done every time, and it was negative three times...",pain,https://twitter.com/twitter/status/1561596946309324802
2022.08.22,6,11, ,1,"RT @Tanuk_Ichi: 一方で日本のHPVワクチン接種率が1％未満だった時期から富山での接種率は高い。
現在は既に20%を超える見込み。
富山県議会議員で産婦人科医の種部先生から直接伺ったが、その決め手は
""富山には反ワクチン議員がいなかったから""

反ワクチン議員は公…","RT @Tanuk_Ichi: On the other hand, the vaccination rate in Toyama is high since the HPV vaccination rate in Japan was less than 1%.
Currently, it is expected to exceed 20%.
I directly asked Dr. Tanebe, a member of the Toyama Prefectural Assembly and an obstetrician and gynecologist, what was the decisive factor?
""Because there were no anti-vaccine legislators in Toyama.""

Anti-vaccine legislators are public…",no,https://twitter.com/twitter/status/1561596945034256384
2022.08.22,6,11, ,1,RT @partyhike: せっかく打ったのに、ノーマスクで祭もできないワクチンなんて、何の存在意義もないだろ。,"RT @partyhike: There's no point in having a vaccine that doesn't have a mask and can't be held at a festival, even though it's been shot.",no,https://twitter.com/twitter/status/1561596941963628544
2022.08.22,6,11, ,1,"ワクチンチン4回目打った(基礎疾患対象)

あとはもう打たんな

年に一回とかにしたい","Vaccinated 4 times (underlying disease target)

I can't hit anymore

I want to do it once a year",disease,https://twitter.com/twitter/status/1561596939543941121
2022.08.22,6,11, ,1,ルールを破って勝手にマスクを外したり声出しを解禁したり反ワクチン運動に精を出している人って、個人的にコロナ前から「発想が薄っぺらいな」「想像力がないな」「自分勝手だな」と思っていた人ばかりなんだよな。一般人、有名人問わず。,"People who break the rules and take off their masks without permission, lift the ban on speaking out, and work hard on the anti-vaccine movement have personally said that even before the corona, they had ""a thin idea,"" ""no imagination,"" and ""selfishness."" There are only people who thought that Both ordinary people and celebrities.",hard,https://twitter.com/twitter/status/1561597002664005634
2022.08.22,6,11, ,1,"RT @Tanuk_Ichi: 自分は15年間ほど医者をやっているが
""私は反ワクチンではありませんが...""
と主張する人の中で反ワクチンではない人を見た事がない
なお自分の中での反ワクチンの定義は
""ワクチンに関する誤情報を拡散する事に熱心で、正しいデータや論文を提示される…","RT @Tanuk_Ichi: I've been a doctor for about 15 years
""I'm not anti-vaccine, but...""
I have never seen a person who is not anti-vaccine among those who claim that
What is your definition of anti-vaccine?
""Eager to spread misinformation about vaccines, presented with correct data and papers...",never,https://twitter.com/twitter/status/1561597002412089345
2022.08.22,6,11, ,1,"RT @serast_km: 反コロナ反マスクの人達と話して気がついたのは彼らはみな「物凄く怖がり」だということなのだ。
彼らはコロナを恐れ自分が感染して死ぬかもしれないことを心底こわがっているのだ。
必死にコロナと死の恐怖を考えないようにしているのに、目の前でマスクをして感染…","RT @serast_km: Talking to the anti-corona anti-mask people, I've noticed that they are all ""extremely scared"".
They are afraid of corona and are really afraid that they may be infected and die.
I'm desperately trying not to think about corona and the fear of death, but I'm wearing a mask in front of me and getting infected...",fear,https://twitter.com/twitter/status/1561596998884634624
2022.08.22,6,11, ,1,RT @genki_sudo: ワクチン3回目接種から3か月以内 発症を防ぐ効果65%…ということですが、重症化リスクが低くなっている中でたった3ヶ月、65%の効果の為に接種する必要性がわかりません。副反応や後遺症のリスクの方が気になる人は多いはずです。 https://t.c…,RT @genki_sudo: 65% effective in preventing onset within 3 months from the 3rd vaccination... but the need to inoculate for 65% effect for only 3 months while the risk of severe disease is low I do not know. There should be a lot of people who are more concerned about the risk of side effects and sequelae. https://t.c…,severe,https://twitter.com/twitter/status/1561596997093978112
2022.08.22,6,12, ,1,"RT @Tamama0306: これが正常な報道です

🇦🇺オーストラリアのニュース詰め合わせ

コロナワクチンによる血栓症で集中治療室に運ばれました
18歳の医療従事者が接種後に血栓になりました
ファイザー製ワクチンで病気になった10代の少女が助けを求めています

呪詛 ht…","RT @Tamama0306: this is normal coverage

🇦🇺 Australian News Pack

I was taken to the intensive care unit for thrombosis from the corona vaccine
18-year-old health care worker develops blood clots after vaccination
Teenage girl sick from Pfizer vaccine seeks help

curse ht…",sick,https://twitter.com/twitter/status/1561597050479083520
2022.08.22,6,12, ,1,"RT @TotalWorld1: 「ワクチン接種のおもな目的は重症化を予防することであって、岸田氏が感染すること自体は不思議ではない」と言うネット記事を見ましたが、どこまで厚顔無恥なのか。

最初はワクチン接種したら、感染しないと言っていたのを忘れたとでも思っているのでしょうか…","RT @TotalWorld1: I saw an online article saying, ``The main purpose of vaccination is to prevent aggravation, and it is no wonder that Mr. Kishida is infected,'' but how shameless is it? .

You think I forgot to say that if I get the vaccine in the first place, he won't get it...",no,https://twitter.com/twitter/status/1561597048318595073
2022.08.22,6,12, ,1,"@fraisst 兄も弟も打ってない！
ワクチンなんかどうでもよかったらしい👵

時代と共にどんどん増えてく😭","@fraisst neither brother nor brother hit!
I don't care about vaccines 👵

Increasing more and more with time",neither,https://twitter.com/twitter/status/1561597046863560706
2022.08.22,6,12, ,1,RT @diplo_geo: ワクチン推進のカラクリは、ファイザーの株主であるSGI(創価学会インターナショナル)とゲイツ財団が手を組み、学会員が多く在籍する厚労省と、製薬会社と癒着する感染症の専門家が旗振り役となり、日本政府の財源で大量にワクチンを購入し、総動員して国民に接種…,"RT @diplo_geo: Vaccine promotion mechanism is a partnership between SGI (Soka Gakkai International), a shareholder of Pfizer, and the Gates Foundation, and the Ministry of Health, Labor and Welfare, where many academic members are enrolled, and an infectious disease expert who is in close contact with pharmaceutical companies. became a flag bearer, purchased a large amount of vaccines with the financial resources of the Japanese government, and mobilized all to vaccinate the public.",disease,https://twitter.com/twitter/status/1561597046104428545
2022.08.22,6,12,1, ,"なんか夏休みでワクチン接種頑張ったら第7波抑え込めたと思うけど、どうなんだろう
岸田さんゴルフやってる暇あったら、その辺の指示出せただろ","I think I could have suppressed the 7th wave if I did my best to get vaccinated during the summer vacation, but what do you think?
Mr. Kishida, if you had free time playing golf, you could have given instructions on that side.",best,https://twitter.com/twitter/status/1561597043868479488
2022.08.22,6,12, ,1,"RT @nonaka_shin: 首相がコロナに感染したらワクチン接種後の効果は

・確率の問題
・感染予防効果ではなく重症予防効果

と言われるんだけど...じゃー感染対策やめたら？重症予防するんでしょ。確率ってコロナの感染率0%目指してんの？しかも65％近い人が3回も接種し…","RT @nonaka_shin: What is the effect after vaccination if the prime minister is infected with corona?

・probability problem
・Severe disease prevention effect, not infection prevention effect

That's what I'm told... so why don't you stop the infection? You want to prevent serious illness? Are you aiming for a probability of 0% infection rate of corona? Moreover, nearly 65% ​​of people vaccinated three times.",disease,https://twitter.com/twitter/status/1561597102555164674
2022.08.22,6,12,1, ,RT @sivaprod: 安倍の「富士レビオに富士アビガンが世界を救う」も吉村松井の「大阪ワクチンが世界を救う」も防疫とか科学の話ではなく「いかにオトコのプライドを満足させられるか」ってネタでしかない。,"RT @sivaprod: Abe's ""Fuji Rebio saves the world with Fuji Avigan"" and Yoshimura Matsui's ""Osaka vaccine saves the world"" are not about epidemics or science, but ""How can you satisfy the pride of a man?"" It's just a story.",pride,https://twitter.com/twitter/status/1561597100663549952
2022.08.22,6,12,1, ,RT @shingo19580312: 毎日新聞は偉い！内閣支持率が36%で不支持が54%だって！いい加減目を覚ませ！また国葬賛成が30%で反対が53%です！人の言うことが得意な人！これ民意だよ！聞こえないのなら辞めろ！ワクチン４回打ってゴルフして伊豆旅行して感染？車移動じゃ無…,"RT @shingo19580312: Mainichi Shimbun is great! Cabinet approval rate is 36% and disapproval is 54%! Come on wake up! 30% are in favor of a state funeral and 53% are against it. A person who is good at what people say! This is public opinion! If you can't hear me, quit! Infected by hitting the vaccine 4 times, playing golf and traveling to Izu? No need to move by car...",good,https://twitter.com/twitter/status/1561597089804480513
2022.08.22,6,12,1, ,RT @KDystopia: 事例のなかの“ワクチンの効果ないんやね”、というのは別に「心ない言葉」ではないと思う。こういう現象から、ワクチンについて批判的に見ること自体、副反応で苦しんでいる人もいるわけで当然だと思う。 https://t.co/LPZEiBNIhz,"RT @KDystopia: I don't think that ""the vaccine doesn't work"" in the case is ""heartless words"". From this phenomenon, I think it's natural that there are people who are suffering from side effects when they look at vaccines critically. https://t.co/LPZEiBNIhz",natural,https://twitter.com/twitter/status/1561597088932040704
2022.08.22,6,12,1, ,めっちゃ凹んだけど婦人科で薬もらったし遊びの日程調整したしイベント出展申し込んだしワクチン接種申し込んだし、今日の私は偉すぎる,"I was really depressed, but I got medicine from the gynecologist, adjusted the play schedule, applied for an event exhibition, applied for vaccinations, and I'm too proud today",proud,https://twitter.com/twitter/status/1561597087984525313
2022.08.22,6,12,1, ,"RT @Awakend_Citizen: 「ノーマスク」「反ワクチン」の我々を批判する人は勘違いをしている

我々は「ルール」や集団心理に逆らうことに酔っているわけではない
むしろ正しく行動する常識人が多い

しかしコロナに関しては、明らかに国民にとって良くない目的で誘導し「ル…","RT @Awakend_Citizen: Those who criticize us for ""no masks"" and ""anti-vaccine"" are mistaken

We're not drunk on defying ""rules"" and group psychology
Rather, there are many common sense people who act correctly

However, regarding Corona, it is clearly not good for the people, and it is guided by ""ru...",good,https://twitter.com/twitter/status/1561597085694119937
2022.08.22,6,12, ,1,"RT @Tamama0306: これが正常な報道です

🇦🇺オーストラリアのニュース詰め合わせ

コロナワクチンによる血栓症で集中治療室に運ばれました
18歳の医療従事者が接種後に血栓になりました
ファイザー製ワクチンで病気になった10代の少女が助けを求めています

呪詛 ht…","RT @Tamama0306: this is normal coverage

🇦🇺 Australian News Pack

I was taken to the intensive care unit for thrombosis from the corona vaccine
18-year-old health care worker develops blood clots after vaccination
Teenage girl sick from Pfizer vaccine seeks help

curse ht…",sick,https://twitter.com/twitter/status/1561597151901192193
2022.08.22,6,12, ,1,"医者「私な、コロナの患者1000人ぐらい診てきたけどコロナで禿げた人もおったしワクチンで禿げた人もおったんよ〜」

私「あはは…」

そ　れ　が　一　番　嫌　で　す　。","Doctor: ""I've seen about 1,000 corona patients, and there were people who went bald because of the corona virus, and there were people who got bald because of the vaccine.""

Me: ""Ahaha...""

That's what I hate the most.",hate,https://twitter.com/twitter/status/1561597142837661696
2022.08.22,6,12, ,1,"RT @Tanuk_Ichi: 子宮頸がんやHPVワクチンに関して凄まじい数の質問やDMが来るので、可能な範囲でこちらでお返事します。

まず最も多い質問
Q. ◯◯歳で性交渉の経験もあるんですけど、HPVワクチンは接種した方が良いんでしょうか？
A. 26歳以下なら強く推奨、…","RT @Tanuk_Ichi: I get a tremendous number of questions and DMs about cervical cancer and HPV vaccines, so I'll answer them here as much as possible.

First most common question
Q. I am XX years old and have had sexual intercourse. Should I get the HPV vaccine?
A. Strongly recommended if you are under 26,…",old,https://twitter.com/twitter/status/1561597125125095424
2022.08.22,6,12, ,1,"RT @hiroya0416: 気づいてしまった...

政治家がやるワクチン接種のお願い、推奨、強要もこれにあたる。。

学校の先生が小学生に言うマスクつけなさいもこれにあたる。。

とにかく医師免許を持たない人間に特定の疾患についてとやかく言われる筋合いはないんです🙆‍♂️…","RT @hiroya0416: I just noticed...

Asking for, recommending, and coercing vaccinations by politicians also falls under this category. .

This is what school teachers say to elementary school students to put on a mask. .

Anyway, there is no right to talk about a specific disease to someone who doesn't have a medical license 🙆‍♂️...",no,https://twitter.com/twitter/status/1561597121148596225
2022.08.22,6,12,1, ,"RT @yasu_boy: #4回目のワクチン 打ったのに #コロナ になっている人の話を聞いて、3回目のワクチンを打とうと思う人はいないと思う人はいいねとRTをお願いします。 

#岸田総理 #岸田文雄 #岸田コロナ #ワクチン薬害 
https://t.co/GjAcMdw…","RT @yasu_boy: Please like and RT if you don't think anyone will think about getting a third vaccine after listening to the story of a person who got #corona after getting the 4th vaccine.

#Prime Minister Kishida #Fumio Kishida #Corona Kishida #Vaccine drug hazard
https://t.co/GjAcMdw…",like,https://twitter.com/twitter/status/1561597203130396678
2022.08.22,6,12,1, ,RT @takavet1: 欧米はあの手この手で、支配を続けるために、新しい枠組み、ルールを押し付けてきます。その際、巧妙に正義を振りかざし、善人を装います。日本を守るために欧米の策略には十分気をつけた方がいいです。無批判に受け入れるのはとても危険です。ワクチンしかり、SDGs…,"RT @takavet1: The West will do whatever it takes to impose new frameworks and rules in order to maintain its dominance. At that time, he skillfully brandishes justice and pretends to be a good person. In order to protect Japan, it is better to pay close attention to the strategies of Europe and the United States. Uncritical acceptance is very dangerous. Vaccines, SDGs...",good,https://twitter.com/twitter/status/1561597198550601728
2022.08.22,6,12, ,1,RT @partyhike: 重症化リスクが低い若者には新機序のmRNAワクチンを様子見するという選択肢があったのに、医クラが何のエビデンスも存在せず厚労省ですら否定している『ワクチンで集団免疫』というデマを流し、『社会のため老人ために若者もワクチンを打て』という圧力を創り出し…,"RT @partyhike: Young people with a low risk of severe disease had the option of waiting for a new mechanism of mRNA vaccine, but the medical club has no evidence and even the Ministry of Health, Labor and Welfare denies it. Spreading the hoax of ""herd immunity with vaccines"" and creating pressure to ""vaccine young people for the sake of society and the elderly""...",severe,https://twitter.com/twitter/status/1561597192791396352
2022.08.22,6,12,1, ,RT @partyhike: 岸田首相のワクチン4回目接種直後のコロナ感染が話題だけど、『最高権力者であるバイデン大統領も、日本のトップの岸田首相も4回目接種しているから、ワクチンは安全かつ効果的』と実に科学的な主張をしていた医者がいたんだけど、バイデンも岸田もきっちりコロナに…,"RT @partyhike: Prime Minister Kishida's corona infection immediately after the 4th vaccination is a hot topic, but ``President Biden, who is the most powerful person, and Prime Minister Kishida, who is the top of Japan, have been vaccinated for the 4th time, so the vaccine is safe and effective. There was a doctor who made a really scientific claim, but Biden and Kishida were exactly in Corona...",powerful,https://twitter.com/twitter/status/1561597192749871104
2022.08.22,6,12, ,1,"RT @Volo0Cfpl: @kirikabu11 @mkmogura @junmurot コロナ精神病の方はこのニュースを見ても、「因果関係は不明」だけを見てワクチンで死んだ人はいない、と言い張りますから
危機意識が根本的にズレてニブいから話しになりません","RT @Volo0Cfpl: @kirikabu11 @mkmogura @junmurot Even if people with corona psychosis see this news, they will insist that no one died from the vaccine just by looking at ""the causal relationship is unknown""
I can't talk about it because my sense of crisis is fundamentally misaligned",no,https://twitter.com/twitter/status/1561597248685092864
2022.08.22,6,12,1, ,"RT @Awakend_Citizen: 「ノーマスク」「反ワクチン」の我々を批判する人は勘違いをしている

我々は「ルール」や集団心理に逆らうことに酔っているわけではない
むしろ正しく行動する常識人が多い

しかしコロナに関しては、明らかに国民にとって良くない目的で誘導し「ル…","RT @Awakend_Citizen: Those who criticize us for ""no masks"" and ""anti-vaccine"" are mistaken

We're not drunk on defying ""rules"" and group psychology
Rather, there are many common sense people who act correctly

However, regarding Corona, it is clearly not good for the people, and it is guided by ""ru...",good,https://twitter.com/twitter/status/1561597241915473920
2022.08.22,6,12, ,1,"RT @wolfhopp7: ワクチン接種は脳梗塞を引き起こす

ワクチン接種は心筋炎を引き起こす

反論の余地はない

Dr.シェリー・テンペニー

2022.7.13 https://t.co/YQuqV1mDUz","RT @wolfhopp7: vaccination causes stroke

Vaccination causes myocarditis

there is no room for objection

Dr. Sherry Tenpenny

2022.7.13 https://t.co/YQuqV1mDUz",no,https://twitter.com/twitter/status/1561597239746711553
2022.08.22,6,12,1, ,"ワクチン入りの野菜をいっぱい作る予定です
ビルゲイツさんは目覚めてる人間も逃がさない https://t.co/1kOUeJXKyi","I plan to grow a lot of vaccinated vegetables.
Bill Gates does not let awake humans escape https://t.co/1kOUeJXKyi",awake,https://twitter.com/twitter/status/1561597235879559168
